hour,value
2025-06-30 00:00,49.82111486486486
2025-06-30 01:00,50.46968438538206
2025-06-30 02:00,49.37527896995708
2025-06-30 03:00,50.51561969439729
2025-06-30 04:00,50.36992287917737
2025-06-30 05:00,51.309615384615384
2025-06-30 06:00,49.214346712211785
2025-06-30 07:00,50.615518672199165
2025-06-30 08:00,49.188505747126435
2025-06-30 09:00,48.677826855123676
2025-06-30 10:00,51.01477272727273
2025-06-30 11:00,48.70024958402662
2025-06-30 12:00,50.184391080617495
2025-06-30 13:00,49.27306425041186
2025-06-30 14:00,50.8556135770235
2025-06-30 15:00,50.32300962379702
2025-06-30 16:00,49.0483948635634
2025-06-30 17:00,50.15255411255411
2025-06-30 18:00,50.57112387202625
2025-06-30 19:00,50.90789707187223
2025-06-30 20:00,48.9248126561199
2025-06-30 21:00,50.754127659574465
2025-06-30 22:00,48.178125
2025-06-30 23:00,50.30281690140845
