hour,value
2025-06-28 00:00,50.459136212624585
2025-06-28 01:00,49.35355371900827
2025-06-28 02:00,49.72097165991903
2025-06-28 03:00,49.530114135206325
2025-06-28 04:00,49.871658206429785
2025-06-28 05:00,49.708180300500835
2025-06-28 06:00,50.325204582651395
2025-06-28 07:00,50.12375
2025-06-28 08:00,49.77386554621849
2025-06-28 09:00,50.12221304706854
2025-06-28 10:00,48.5214405360134
2025-06-28 11:00,48.886038687973084
2025-06-28 12:00,48.970683760683755
2025-06-28 13:00,49.718433931484505
2025-06-28 14:00,50.45477815699659
2025-06-28 15:00,50.285204525674494
2025-06-28 16:00,50.094696321642424
2025-06-28 17:00,51.332535094962836
2025-06-28 18:00,50.07894273127753
2025-06-28 19:00,49.088647342995166
2025-06-28 20:00,49.14600326264274
2025-06-28 21:00,50.91694772344014
2025-06-28 22:00,48.7688127090301
2025-06-28 23:00,50.85147299509001
