hour,value
2025-06-27 00:00,49.30291909924937
2025-06-27 01:00,50.283506805444354
2025-06-27 02:00,49.00081433224756
2025-06-27 03:00,50.554941634241246
2025-06-27 04:00,50.33632441760138
2025-06-27 05:00,48.153007846556235
2025-06-27 06:00,49.25566202090592
2025-06-27 07:00,50.469126912691266
2025-06-27 08:00,50.87996632996633
2025-06-27 09:00,49.83232497839239
2025-06-27 10:00,49.22427506213753
2025-06-27 11:00,51.35173611111111
2025-06-27 12:00,50.53444084278768
2025-06-27 13:00,49.58289806234204
2025-06-27 14:00,49.051435810810815
2025-06-27 15:00,49.58627118644068
2025-06-27 16:00,49.51753926701571
2025-06-27 17:00,49.44923208191126
2025-06-27 18:00,49.95881326352531
2025-06-27 19:00,51.77463706233988
2025-06-27 20:00,50.320680851063834
2025-06-27 21:00,49.95160729800174
2025-06-27 22:00,49.857419898819565
2025-06-27 23:00,49.77662337662338
