hour,value
2025-06-03 00:00,49.66749335695305
2025-06-03 01:00,49.46441102756892
2025-06-03 02:00,49.773387096774194
2025-06-03 03:00,47.95741507870754
2025-06-03 04:00,49.02997502081599
2025-06-03 05:00,49.193588676103246
2025-06-03 06:00,49.55777027027027
2025-06-03 07:00,50.56185737976783
2025-06-03 08:00,49.053193277310925
2025-06-03 09:00,50.99065495207668
2025-06-03 10:00,50.00529461998292
2025-06-03 11:00,50.68336148648648
2025-06-03 12:00,50.14237288135593
2025-06-03 13:00,49.932736156351794
2025-06-03 14:00,48.097532894736844
2025-06-03 15:00,50.240655447298494
2025-06-03 16:00,49.69168053244592
2025-06-03 17:00,48.66943972835314
2025-06-03 18:00,50.119224422442244
2025-06-03 19:00,50.238480801335555
2025-06-03 20:00,51.05461604831752
2025-06-03 21:00,50.73071786310518
2025-06-03 22:00,49.15025906735751
2025-06-03 23:00,49.9321608040201
